Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.102,,,2020-09-24 22:36:58,2020-09-24 22:36:59,0.926s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/label_Facility""), 0)",Chrome 85.0.4183.102,,,2020-09-24 22:36:59,2020-09-24 22:36:59,0.510s,PASSED
closeBrowser(),Chrome 85.0.4183.102,,,2020-09-24 22:36:59,2020-09-24 22:36:59,0.085s,PASSED
,,,,,,,
Test Cases/TC05_userPassFail,Chrome 85.0.4183.102,,,2020-09-24 22:36:59,2020-09-24 22:37:06,7.046s,PASSED
"openBrowser("""")",Chrome 85.0.4183.102,,,2020-09-24 22:36:59,2020-09-24 22:37:00,0.611s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 85.0.4183.102,,,2020-09-24 22:37:00,2020-09-24 22:37:03,2.842s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 85.0.4183.102,,,2020-09-24 22:37:03,2020-09-24 22:37:04,0.848s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Username_username""), ""joa"")",Chrome 85.0.4183.102,,,2020-09-24 22:37:04,2020-09-24 22:37:04,0.663s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/input_Password_password""), ""tzH6RvlfSTg="")",Chrome 85.0.4183.102,,,2020-09-24 22:37:04,2020-09-24 22:37:05,0.402s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/button_Login""))",Chrome 85.0.4183.102,,,2020-09-24 22:37:05,2020-09-24 22:37:06,1.075s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/Page_CURA Healthcare Service/p_Please login to make appointment""), 0)",Chrome 85.0.4183.102,,,2020-09-24 22:37:06,2020-09-24 22:37:06,0.395s,PASSED
closeBrowser(),Chrome 85.0.4183.102,,,2020-09-24 22:37:06,2020-09-24 22:37:06,0.082s,PASSED
